15,Etats-Unis Fondeyre,20
15,Glacière,21
15,Etats-Unis Fondeyre,22
18,Basso Cambo,1
18,Mesplé,2
18,Ateliers Métro,3
18,Gélis,4
18,Magre,5
18,Fleming,6
18,Météo,7
18,Fleming,8
18,Odeillo,9
18,Bordeblanche,10
18,Pradettes,11
18,Passerieu,12
18,Ecole D'Architecture,13
18,Cité Scolaire Rive Gauche,14
19,Borderouge,1
19,Monloup,2
19,Lanusse,3
19,Pujibet,4
19,Petit Castelet,5
19,Cabarette,6
19,Colonel Rémy,7
19,Avranches,8
19,Nicol,9
19,Cité Amouroux,10
19,Hyères,11
19,Eglise St-André,12
19,Michoun,13
19,Place Bet,14
19,Doumergue,15
19,Roseraie,16
19,Guillaumet,17
19,Dinetard,18
19,Soupetard,19
19,Surcouf,20
19,Solidarité,21
19,Soumet,22
19,Plana,23
19,Navarre,24
19,Château de l'Hers,25
19,Fontanelles,26
19,Carcassonne,27
19,Rougenet,28
19,Iliade,29
19,Ivoire,30
19,Place de l'Indépendance,31
20,Balma-Gramont,1
20,ZI Montredon,2
20,Giratoire Truffaut,3
20,Le Chapitre,4
20,Mireille,5
20,Mont Pin,6
20,Vignobles,7
20,Belle Fontaine,8
20,Pastel,9
20,Logis Vieux,10
20,Gare SNCF Montrabé,11
20,La Rivière,12
20,Montrabé Stade,13
20,Mistral,14
20,Borde Haute,15
20,Collège Montrabé,16
20,Bel Souleil,17
20,Bel Souleil,18
20,Beaupuy Mairie,18
20,Beaupuy Mairie,19
21,Basso Cambo,1
21,Mesplé,2
21,Mounède,3
21,Vandel,4
21,Phidias,5
21,Grynfogel,6
21,St-Exupéry,7
21,Ctre Cial Tournefeuille,8
21,Alphonse Daudet,9
21,Montjoie,10
21,Les Chênes,11
21,Montel,12
21,Languedoc,13
21,Mitterrand,14
21,Gymnase,15
21,Rouergue,16
21,Ile de France,17
21,Camargue,18
21,Touraine,19
21,Pagnol,20
21,Picasso,21
21,Longchamp,22
21,Larzac,23
21,Estérel,24
21,Cabirol,25
21,Tuileries,26
21,Colomiers Gare SNCF,27
21,Médiathèque Pavillon Blanc,28
21,Cantal,29
21,Aubrac,30
21,Pelvoux,31
21,Oratoire,32
21,Serres,33
21,Colomiers Airbus,34
22,Marengo-SNCF,1
22,Riquet,2
22,Bachelier,3
22,Jean Jaurès,4
22,St-Georges,5
22,François Verdier,6
22,Place Dupuy,7
22,Périssé,8
22,Lanfant,9
22,Belle Paule,10
22,Leygue,11
22,Beau Soleil,12
22,Barrau,13
22,Glaïeuls,14
22,Langevin,15
22,Gers,16
22,Lartet,17
22,Aude,18
22,Corraze,19
22,Garin,20
22,Tahiti,21
22,Portillon,22
22,Bréguet,23
22,Lavidalie,24
22,Gonin,25
23,Jeanne d'Arc,1
23,Jean Jaurès,2
23,Bachelier,3
23,Riquet,4
23,Colombette,5
23,Providence,6
23,Savignac,7
23,Assalit,8
23,Monié,9
23,Crêtes,10
23,Coquille,11
23,Jean Chaubet,12
23,Achiary,13
23,Av. Raymond Naves,14
23,Lafilaire,15
23,Limayrac,16
23,Balansa,17
23,Jacinthes,18
23,Baroux,19
23,Firmis,20
23,Pugens,21
23,Mont Ventoux,22
23,Allègre,23
23,Ledormeur,24
23,Sicard Alaman,25
23,Capdenier,26
